step,reward,confidence_level,fatigue_level,current_mode
105,1.0,0.005,1.0,exploration
106,1.0,0.005,1.0,exploration
107,1.0,0.005,1.0,exploration
108,1.0,0.005,1.0,exploration
109,1.0,0.005,1.0,exploration
110,1.0,0.005,1.0,exploration
111,1.0,0.005,1.0,exploration
112,1.0,0.005,1.0,exploration
113,1.0,0.005,1.0,exploration
114,1.0,0.005,1.0,exploration
115,1.0,0.005,1.0,exploration
116,1.0,0.005,1.0,exploration
117,1.0,0.005,1.0,exploration
118,1.0,0.005,1.0,exploration
119,1.0,0.005,1.0,exploration
120,1.0,0.005,1.0,exploration
121,1.0,0.005,1.0,exploration
122,1.0,0.005,1.0,exploration
123,1.0,0.005,1.0,exploration
124,1.0,0.005,1.0,exploration
125,1.0,0.005,1.0,exploration
126,1.0,0.005,1.0,exploration
127,1.0,0.005,1.0,exploration
128,1.0,0.005,1.0,exploration
129,1.0,0.005,1.0,exploration
130,1.0,0.005,1.0,exploration
131,1.0,0.005,1.0,exploration
132,1.0,0.005,1.0,exploration
133,1.0,0.005,1.0,exploration
134,1.0,0.005,1.0,exploration
135,1.0,0.005,1.0,exploration
136,1.0,0.005,1.0,exploration
137,1.0,0.005,1.0,exploration
138,1.0,0.005,1.0,exploration
139,1.0,0.005,1.0,exploration
140,1.0,0.005,1.0,exploration
141,1.0,0.005,1.0,exploration
142,1.0,0.005,1.0,exploration
143,1.0,0.005,1.0,exploration
144,1.0,0.005,1.0,exploration
145,1.0,0.005,1.0,exploration
146,1.0,0.005,1.0,exploration
147,1.0,0.005,1.0,exploration
148,1.0,0.005,1.0,exploration
149,1.0,0.005,1.0,exploration
150,1.0,0.005,1.0,exploration
151,1.0,0.005,1.0,exploration
152,1.0,0.005,1.0,exploration
153,1.0,0.005,1.0,exploration
154,1.0,0.005,1.0,exploration
155,1.0,0.005,1.0,exploration
156,1.0,0.005,1.0,exploration
157,1.0,0.005,1.0,exploration
158,1.0,0.005,1.0,exploration
159,1.0,0.005,1.0,exploration
160,1.0,0.005,1.0,exploration
161,1.0,0.005,1.0,exploration
162,1.0,0.005,1.0,exploration
163,1.0,0.005,1.0,exploration
164,1.0,0.005,1.0,exploration
165,1.0,0.005,1.0,exploration
166,1.0,0.005,1.0,exploration
167,1.0,0.005,1.0,exploration
168,1.0,0.005,1.0,exploration
169,1.0,0.005,1.0,exploration
170,1.0,0.005,1.0,exploration
171,1.0,0.005,1.0,exploration
172,1.0,0.005,1.0,exploration
173,1.0,0.005,1.0,exploration
174,1.0,0.005,1.0,exploration
175,1.0,0.005,1.0,exploration
176,1.0,0.005,1.0,exploration
177,1.0,0.005,1.0,exploration
178,1.0,0.005,1.0,exploration
179,1.0,0.005,1.0,exploration
180,1.0,0.005,1.0,exploration
181,1.0,0.005,1.0,exploration
182,1.0,0.005,1.0,exploration
183,1.0,0.005,1.0,exploration
184,1.0,0.005,1.0,exploration
185,1.0,0.005,1.0,exploration
186,1.0,0.005,1.0,exploration
187,1.0,0.005,1.0,exploration
188,1.0,0.005,1.0,exploration
189,1.0,0.005,1.0,exploration
190,1.0,0.005,1.0,exploration
191,1.0,0.005,1.0,exploration
192,1.0,0.005,1.0,exploration
193,1.0,0.005,1.0,exploration
194,1.0,0.005,1.0,exploration
195,1.0,0.005,1.0,exploration
196,1.0,0.005,1.0,exploration
197,1.0,0.005,1.0,exploration
198,1.0,0.005,1.0,exploration
199,1.0,0.005,1.0,exploration
200,1.0,0.005,1.0,exploration
201,1.0,0.005,1.0,exploration
202,1.0,0.005,1.0,exploration
203,1.0,0.005,1.0,exploration
204,1.0,0.005,1.0,exploration
205,1.0,0.005,1.0,exploration
206,1.0,0.005,1.0,exploration
207,1.0,0.005,1.0,exploration
208,1.0,0.005,1.0,exploration
209,1.0,0.005,1.0,exploration
210,1.0,0.005,1.0,exploration
211,1.0,0.005,1.0,exploration
212,1.0,0.005,1.0,exploration
213,1.0,0.005,1.0,exploration
214,1.0,0.005,1.0,exploration
215,1.0,0.005,1.0,exploration
216,1.0,0.005,1.0,exploration
217,1.0,0.005,1.0,exploration
218,1.0,0.005,1.0,exploration
219,1.0,0.005,1.0,exploration
220,1.0,0.005,1.0,exploration
221,1.0,0.005,1.0,exploration
222,1.0,0.005,1.0,exploration
223,1.0,0.005,1.0,exploration
224,1.0,0.005,1.0,exploration
225,1.0,0.005,1.0,exploration
226,1.0,0.005,1.0,exploration
227,1.0,0.005,1.0,exploration
228,1.0,0.005,1.0,exploration
229,1.0,0.005,1.0,exploration
230,1.0,0.005,1.0,exploration
231,1.0,0.005,1.0,exploration
232,1.0,0.005,1.0,exploration
233,1.0,0.005,1.0,exploration
234,1.0,0.005,1.0,exploration
235,1.0,0.005,1.0,exploration
236,1.0,0.005,1.0,exploration
237,1.0,0.005,1.0,exploration
238,1.0,0.005,1.0,exploration
239,1.0,0.005,1.0,exploration
240,1.0,0.005,1.0,exploration
241,1.0,0.005,1.0,exploration
242,1.0,0.005,1.0,exploration
243,1.0,0.005,1.0,exploration
244,1.0,0.005,1.0,exploration
245,1.0,0.005,1.0,exploration
246,1.0,0.005,1.0,exploration
247,1.0,0.005,1.0,exploration
248,1.0,0.005,1.0,exploration
249,1.0,0.005,1.0,exploration
250,1.0,0.005,1.0,exploration
251,1.0,0.005,1.0,exploration
252,1.0,0.005,1.0,exploration
253,1.0,0.005,1.0,exploration
254,1.0,0.005,1.0,exploration
255,1.0,0.005,1.0,exploration
256,1.0,0.005,1.0,exploration
257,1.0,0.005,1.0,exploration
258,1.0,0.005,1.0,exploration
259,1.0,0.005,1.0,exploration
260,1.0,0.005,1.0,exploration
261,1.0,0.005,1.0,exploration
262,1.0,0.005,1.0,exploration
263,1.0,0.005,1.0,exploration
264,1.0,0.005,1.0,exploration
265,1.0,0.005,1.0,exploration
266,1.0,0.005,1.0,exploration
267,1.0,0.005,1.0,exploration
268,1.0,0.005,1.0,exploration
269,1.0,0.005,1.0,exploration
270,1.0,0.005,1.0,exploration
271,1.0,0.005,1.0,exploration
272,1.0,0.005,1.0,exploration
273,1.0,0.005,1.0,exploration
274,1.0,0.005,1.0,exploration
275,1.0,0.005,1.0,exploration
276,1.0,0.005,1.0,exploration
277,1.0,0.005,1.0,exploration
278,1.0,0.005,1.0,exploration
279,1.0,0.005,1.0,exploration
280,1.0,0.005,1.0,exploration
281,1.0,0.005,1.0,exploration
282,1.0,0.005,1.0,exploration
283,1.0,0.005,1.0,exploration
284,1.0,0.005,1.0,exploration
285,1.0,0.005,1.0,exploration
286,1.0,0.005,1.0,exploration
287,1.0,0.005,1.0,exploration
288,1.0,0.005,1.0,exploration
289,1.0,0.005,1.0,exploration
290,1.0,0.005,1.0,exploration
291,1.0,0.005,1.0,exploration
292,1.0,0.005,1.0,exploration
293,1.0,0.005,1.0,exploration
294,1.0,0.005,1.0,exploration
295,1.0,0.005,1.0,exploration
296,1.0,0.005,1.0,exploration
297,1.0,0.005,1.0,exploration
298,1.0,0.005,1.0,exploration
299,1.0,0.005,1.0,exploration
300,1.0,0.005,1.0,exploration
301,1.0,0.005,1.0,exploration
302,1.0,0.005,1.0,exploration
303,1.0,0.005,1.0,exploration
304,1.0,0.005,1.0,exploration
305,1.0,0.005,1.0,exploration
306,1.0,0.005,1.0,exploration
307,1.0,0.005,1.0,exploration
308,1.0,0.005,1.0,exploration
309,1.0,0.005,1.0,exploration
310,1.0,0.005,1.0,exploration
311,1.0,0.005,1.0,exploration
312,1.0,0.005,1.0,exploration
313,1.0,0.005,1.0,exploration
314,1.0,0.005,1.0,exploration
315,1.0,0.005,1.0,exploration
316,1.0,0.005,1.0,exploration
317,1.0,0.005,1.0,exploration
318,1.0,0.005,1.0,exploration
319,1.0,0.005,1.0,exploration
320,1.0,0.005,1.0,exploration
321,1.0,0.005,1.0,exploration
322,1.0,0.005,1.0,exploration
323,1.0,0.005,1.0,exploration
324,1.0,0.005,1.0,exploration
325,1.0,0.005,1.0,exploration
326,1.0,0.005,1.0,exploration
327,1.0,0.005,1.0,exploration
328,1.0,0.005,1.0,exploration
329,1.0,0.005,1.0,exploration
330,1.0,0.005,1.0,exploration
331,1.0,0.005,1.0,exploration
332,1.0,0.005,1.0,exploration
333,1.0,0.005,1.0,exploration
334,1.0,0.005,1.0,exploration
335,1.0,0.005,1.0,exploration
336,1.0,0.005,1.0,exploration
337,1.0,0.005,1.0,exploration
338,1.0,0.005,1.0,exploration
339,1.0,0.005,1.0,exploration
340,1.0,0.005,1.0,exploration
341,1.0,0.005,1.0,exploration
342,1.0,0.005,1.0,exploration
343,1.0,0.005,1.0,exploration
344,1.0,0.005,1.0,exploration
345,1.0,0.005,1.0,exploration
346,1.0,0.005,1.0,exploration
347,1.0,0.005,1.0,exploration
348,1.0,0.005,1.0,exploration
349,1.0,0.005,1.0,exploration
350,1.0,0.005,1.0,exploration
351,1.0,0.005,1.0,exploration
352,1.0,0.005,1.0,exploration
353,1.0,0.005,1.0,exploration
354,1.0,0.005,1.0,exploration
355,1.0,0.005,1.0,exploration
356,1.0,0.005,1.0,exploration
357,1.0,0.005,1.0,exploration
358,1.0,0.005,1.0,exploration
359,1.0,0.005,1.0,exploration
360,1.0,0.005,1.0,exploration
361,1.0,0.005,1.0,exploration
362,1.0,0.005,1.0,exploration
363,1.0,0.005,1.0,exploration
364,1.0,0.005,1.0,exploration
365,1.0,0.005,1.0,exploration
366,1.0,0.005,1.0,exploration
367,1.0,0.005,1.0,exploration
368,1.0,0.005,1.0,exploration
369,1.0,0.005,1.0,exploration
370,1.0,0.005,1.0,exploration
371,1.0,0.005,1.0,exploration
372,1.0,0.005,1.0,exploration
373,1.0,0.005,1.0,exploration
374,1.0,0.005,1.0,exploration
375,1.0,0.005,1.0,exploration
376,1.0,0.005,1.0,exploration
377,1.0,0.005,1.0,exploration
378,1.0,0.005,1.0,exploration
379,1.0,0.005,1.0,exploration
380,1.0,0.005,1.0,exploration
381,1.0,0.005,1.0,exploration
382,1.0,0.005,1.0,exploration
383,1.0,0.005,1.0,exploration
384,1.0,0.005,1.0,exploration
385,1.0,0.005,1.0,exploration
386,1.0,0.005,1.0,exploration
387,1.0,0.005,1.0,exploration
388,1.0,0.005,1.0,exploration
389,1.0,0.005,1.0,exploration
390,1.0,0.005,1.0,exploration
391,1.0,0.005,1.0,exploration
392,1.0,0.005,1.0,exploration
393,1.0,0.005,1.0,exploration
394,1.0,0.005,1.0,exploration
395,1.0,0.005,1.0,exploration
396,1.0,0.005,1.0,exploration
397,1.0,0.005,1.0,exploration
398,1.0,0.005,1.0,exploration
399,1.0,0.005,1.0,exploration
400,1.0,0.005,1.0,exploration
401,1.0,0.005,1.0,exploration
402,1.0,0.005,1.0,exploration
403,1.0,0.005,1.0,exploration
404,1.0,0.005,1.0,exploration
405,1.0,0.005,1.0,exploration
406,1.0,0.005,1.0,exploration
407,1.0,0.005,1.0,exploration
408,1.0,0.005,1.0,exploration
409,1.0,0.005,1.0,exploration
410,1.0,0.005,1.0,exploration
411,1.0,0.005,1.0,exploration
412,1.0,0.005,1.0,exploration
413,1.0,0.005,1.0,exploration
414,1.0,0.005,1.0,exploration
415,1.0,0.005,1.0,exploration
416,1.0,0.005,1.0,exploration
417,1.0,0.005,1.0,exploration
418,1.0,0.005,1.0,exploration
419,1.0,0.005,1.0,exploration
420,1.0,0.005,1.0,exploration
421,1.0,0.005,1.0,exploration
422,1.0,0.005,1.0,exploration
423,1.0,0.005,1.0,exploration
424,1.0,0.005,1.0,exploration
425,1.0,0.005,1.0,exploration
426,1.0,0.005,1.0,exploration
427,1.0,0.005,1.0,exploration
428,1.0,0.005,1.0,exploration
429,1.0,0.005,1.0,exploration
430,1.0,0.005,1.0,exploration
431,1.0,0.005,1.0,exploration
432,1.0,0.005,1.0,exploration
433,1.0,0.005,1.0,exploration
434,1.0,0.005,1.0,exploration
435,1.0,0.005,1.0,exploration
436,1.0,0.005,1.0,exploration
437,1.0,0.005,1.0,exploration
438,1.0,0.005,1.0,exploration
439,1.0,0.005,1.0,exploration
440,1.0,0.005,1.0,exploration
441,1.0,0.005,1.0,exploration
442,1.0,0.005,1.0,exploration
443,1.0,0.005,1.0,exploration
444,1.0,0.005,1.0,exploration
445,1.0,0.005,1.0,exploration
446,1.0,0.005,1.0,exploration
447,1.0,0.005,1.0,exploration
448,1.0,0.005,1.0,exploration
449,1.0,0.005,1.0,exploration
450,1.0,0.005,1.0,exploration
451,1.0,0.005,1.0,exploration
452,1.0,0.005,1.0,exploration
453,1.0,0.005,1.0,exploration
454,1.0,0.005,1.0,exploration
455,1.0,0.005,1.0,exploration
456,1.0,0.005,1.0,exploration
457,1.0,0.005,1.0,exploration
458,1.0,0.005,1.0,exploration
459,1.0,0.005,1.0,exploration
460,1.0,0.005,1.0,exploration
461,1.0,0.005,1.0,exploration
462,1.0,0.005,1.0,exploration
463,1.0,0.005,1.0,exploration
464,1.0,0.005,1.0,exploration
465,1.0,0.005,1.0,exploration
466,1.0,0.005,1.0,exploration
467,1.0,0.005,1.0,exploration
468,1.0,0.005,1.0,exploration
469,1.0,0.005,1.0,exploration
470,1.0,0.005,1.0,exploration
471,1.0,0.005,1.0,exploration
472,1.0,0.005,1.0,exploration
473,1.0,0.005,1.0,exploration
474,1.0,0.005,1.0,exploration
475,1.0,0.005,1.0,exploration
476,1.0,0.005,1.0,exploration
477,1.0,0.005,1.0,exploration
478,1.0,0.005,1.0,exploration
479,1.0,0.005,1.0,exploration
480,1.0,0.005,1.0,exploration
481,1.0,0.005,1.0,exploration
482,1.0,0.005,1.0,exploration
483,1.0,0.005,1.0,exploration
484,1.0,0.005,1.0,exploration
485,1.0,0.005,1.0,exploration
486,1.0,0.005,1.0,exploration
487,1.0,0.005,1.0,exploration
488,1.0,0.005,1.0,exploration
489,1.0,0.005,1.0,exploration
490,1.0,0.005,1.0,exploration
491,1.0,0.005,1.0,exploration
492,1.0,0.005,1.0,exploration
493,1.0,0.005,1.0,exploration
494,1.0,0.005,1.0,exploration
495,1.0,0.005,1.0,exploration
496,1.0,0.005,1.0,exploration
497,1.0,0.005,1.0,exploration
498,1.0,0.005,1.0,exploration
499,1.0,0.005,1.0,exploration
500,1.0,0.005,1.0,exploration
501,1.0,0.005,1.0,exploration
502,1.0,0.005,1.0,exploration
503,1.0,0.005,1.0,exploration
504,1.0,0.005,1.0,exploration
505,1.0,0.005,1.0,exploration
506,1.0,0.005,1.0,exploration
507,1.0,0.005,1.0,exploration
508,1.0,0.005,1.0,exploration
509,1.0,0.005,1.0,exploration
510,1.0,0.005,1.0,exploration
511,1.0,0.005,1.0,exploration
512,1.0,0.005,1.0,exploration
513,1.0,0.005,1.0,exploration
514,1.0,0.005,1.0,exploration
515,1.0,0.005,1.0,exploration
516,1.0,0.005,1.0,exploration
517,1.0,0.005,1.0,exploration
518,1.0,0.005,1.0,exploration
519,1.0,0.005,1.0,exploration
520,1.0,0.005,1.0,exploration
521,1.0,0.005,1.0,exploration
522,1.0,0.005,1.0,exploration
523,1.0,0.005,1.0,exploration
524,1.0,0.005,1.0,exploration
525,1.0,0.005,1.0,exploration
526,1.0,0.005,1.0,exploration
527,1.0,0.005,1.0,exploration
528,1.0,0.005,1.0,exploration
529,1.0,0.005,1.0,exploration
530,1.0,0.005,1.0,exploration
531,1.0,0.005,1.0,exploration
532,1.0,0.005,1.0,exploration
533,1.0,0.005,1.0,exploration
534,1.0,0.005,1.0,exploration
535,1.0,0.005,1.0,exploration
536,1.0,0.005,1.0,exploration
537,1.0,0.005,1.0,exploration
538,1.0,0.005,1.0,exploration
539,1.0,0.005,1.0,exploration
540,1.0,0.005,1.0,exploration
541,1.0,0.005,1.0,exploration
542,1.0,0.005,1.0,exploration
543,1.0,0.005,1.0,exploration
544,1.0,0.005,1.0,exploration
545,1.0,0.005,1.0,exploration
546,1.0,0.005,1.0,exploration
547,1.0,0.005,1.0,exploration
548,1.0,0.005,1.0,exploration
549,1.0,0.005,1.0,exploration
550,1.0,0.005,1.0,exploration
551,1.0,0.005,1.0,exploration
552,1.0,0.005,1.0,exploration
553,1.0,0.005,1.0,exploration
554,1.0,0.005,1.0,exploration
555,1.0,0.005,1.0,exploration
556,1.0,0.005,1.0,exploration
557,1.0,0.005,1.0,exploration
558,1.0,0.005,1.0,exploration
559,1.0,0.005,1.0,exploration
560,1.0,0.005,1.0,exploration
561,1.0,0.005,1.0,exploration
562,1.0,0.005,1.0,exploration
563,1.0,0.005,1.0,exploration
564,1.0,0.005,1.0,exploration
565,1.0,0.005,1.0,exploration
566,1.0,0.005,1.0,exploration
567,1.0,0.005,1.0,exploration
568,1.0,0.005,1.0,exploration
569,1.0,0.005,1.0,exploration
570,1.0,0.005,1.0,exploration
571,1.0,0.005,1.0,exploration
572,1.0,0.005,1.0,exploration
573,1.0,0.005,1.0,exploration
574,1.0,0.005,1.0,exploration
575,1.0,0.005,1.0,exploration
576,1.0,0.005,1.0,exploration
577,1.0,0.005,1.0,exploration
578,1.0,0.005,1.0,exploration
579,1.0,0.005,1.0,exploration
580,1.0,0.005,1.0,exploration
581,1.0,0.005,1.0,exploration
582,1.0,0.005,1.0,exploration
583,1.0,0.005,1.0,exploration
584,1.0,0.005,1.0,exploration
585,1.0,0.005,1.0,exploration
586,1.0,0.005,1.0,exploration
587,1.0,0.005,1.0,exploration
588,1.0,0.005,1.0,exploration
589,1.0,0.005,1.0,exploration
590,1.0,0.005,1.0,exploration
591,1.0,0.005,1.0,exploration
592,1.0,0.005,1.0,exploration
593,1.0,0.005,1.0,exploration
594,1.0,0.005,1.0,exploration
595,1.0,0.005,1.0,exploration
596,1.0,0.005,1.0,exploration
597,1.0,0.005,1.0,exploration
598,1.0,0.005,1.0,exploration
599,1.0,0.005,1.0,exploration
600,1.0,0.005,1.0,exploration
601,1.0,0.005,1.0,exploration
602,1.0,0.005,1.0,exploration
603,1.0,0.005,1.0,exploration
604,1.0,0.005,1.0,exploration
605,1.0,0.005,1.0,exploration
606,1.0,0.005,1.0,exploration
607,1.0,0.005,1.0,exploration
608,1.0,0.005,1.0,exploration
609,1.0,0.005,1.0,exploration
610,1.0,0.005,1.0,exploration
611,1.0,0.005,1.0,exploration
612,1.0,0.005,1.0,exploration
613,1.0,0.005,1.0,exploration
614,1.0,0.005,1.0,exploration
615,1.0,0.005,1.0,exploration
616,1.0,0.005,1.0,exploration
617,1.0,0.005,1.0,exploration
618,1.0,0.005,1.0,exploration
619,1.0,0.005,1.0,exploration
620,1.0,0.005,1.0,exploration
621,1.0,0.005,1.0,exploration
622,1.0,0.005,1.0,exploration
623,1.0,0.005,1.0,exploration
624,1.0,0.005,1.0,exploration
625,1.0,0.005,1.0,exploration
626,1.0,0.005,1.0,exploration
627,1.0,0.005,1.0,exploration
628,1.0,0.005,1.0,exploration
629,1.0,0.005,1.0,exploration
630,1.0,0.005,1.0,exploration
631,1.0,0.005,1.0,exploration
632,1.0,0.005,1.0,exploration
633,1.0,0.005,1.0,exploration
634,1.0,0.005,1.0,exploration
635,1.0,0.005,1.0,exploration
636,1.0,0.005,1.0,exploration
637,1.0,0.005,1.0,exploration
638,1.0,0.005,1.0,exploration
639,1.0,0.005,1.0,exploration
640,1.0,0.005,1.0,exploration
641,1.0,0.005,1.0,exploration
642,1.0,0.005,1.0,exploration
643,1.0,0.005,1.0,exploration
644,1.0,0.005,1.0,exploration
645,1.0,0.005,1.0,exploration
646,1.0,0.005,1.0,exploration
647,1.0,0.005,1.0,exploration
648,1.0,0.005,1.0,exploration
649,1.0,0.005,1.0,exploration
650,1.0,0.005,1.0,exploration
651,1.0,0.005,1.0,exploration
652,1.0,0.005,1.0,exploration
653,1.0,0.005,1.0,exploration
654,1.0,0.005,1.0,exploration
655,1.0,0.005,1.0,exploration
656,1.0,0.005,1.0,exploration
657,1.0,0.005,1.0,exploration
658,1.0,0.005,1.0,exploration
659,1.0,0.005,1.0,exploration
660,1.0,0.005,1.0,exploration
661,1.0,0.005,1.0,exploration
662,1.0,0.005,1.0,exploration
663,1.0,0.005,1.0,exploration
664,1.0,0.005,1.0,exploration
665,1.0,0.005,1.0,exploration
666,1.0,0.005,1.0,exploration
667,1.0,0.005,1.0,exploration
668,1.0,0.005,1.0,exploration
669,1.0,0.005,1.0,exploration
670,1.0,0.005,1.0,exploration
671,1.0,0.005,1.0,exploration
672,1.0,0.005,1.0,exploration
673,1.0,0.005,1.0,exploration
674,1.0,0.005,1.0,exploration
675,1.0,0.005,1.0,exploration
676,1.0,0.005,1.0,exploration
677,1.0,0.005,1.0,exploration
678,1.0,0.005,1.0,exploration
679,1.0,0.005,1.0,exploration
680,1.0,0.005,1.0,exploration
681,1.0,0.005,1.0,exploration
682,1.0,0.005,1.0,exploration
683,1.0,0.005,1.0,exploration
684,1.0,0.005,1.0,exploration
685,1.0,0.005,1.0,exploration
686,1.0,0.005,1.0,exploration
687,1.0,0.005,1.0,exploration
688,1.0,0.005,1.0,exploration
689,1.0,0.005,1.0,exploration
690,1.0,0.005,1.0,exploration
691,1.0,0.005,1.0,exploration
692,1.0,0.005,1.0,exploration
693,1.0,0.005,1.0,exploration
694,1.0,0.005,1.0,exploration
695,1.0,0.005,1.0,exploration
696,1.0,0.005,1.0,exploration
697,1.0,0.005,1.0,exploration
698,1.0,0.005,1.0,exploration
699,1.0,0.005,1.0,exploration
700,1.0,0.005,1.0,exploration
701,1.0,0.005,1.0,exploration
702,1.0,0.005,1.0,exploration
703,1.0,0.005,1.0,exploration
704,1.0,0.005,1.0,exploration
705,1.0,0.005,1.0,exploration
706,1.0,0.005,1.0,exploration
707,1.0,0.005,1.0,exploration
708,1.0,0.005,1.0,exploration
709,1.0,0.005,1.0,exploration
710,1.0,0.005,1.0,exploration
711,1.0,0.005,1.0,exploration
712,1.0,0.005,1.0,exploration
713,1.0,0.005,1.0,exploration
714,1.0,0.005,1.0,exploration
715,1.0,0.005,1.0,exploration
716,1.0,0.005,1.0,exploration
717,1.0,0.005,1.0,exploration
718,1.0,0.005,1.0,exploration
719,1.0,0.005,1.0,exploration
720,1.0,0.005,1.0,exploration
721,1.0,0.005,1.0,exploration
722,1.0,0.005,1.0,exploration
723,1.0,0.005,1.0,exploration
724,1.0,0.005,1.0,exploration
725,1.0,0.005,1.0,exploration
726,1.0,0.005,1.0,exploration
727,1.0,0.005,1.0,exploration
728,1.0,0.005,1.0,exploration
729,1.0,0.005,1.0,exploration
730,1.0,0.005,1.0,exploration
731,1.0,0.005,1.0,exploration
732,1.0,0.005,1.0,exploration
733,1.0,0.005,1.0,exploration
734,1.0,0.005,1.0,exploration
735,1.0,0.005,1.0,exploration
736,1.0,0.005,1.0,exploration
737,1.0,0.005,1.0,exploration
738,1.0,0.005,1.0,exploration
739,1.0,0.005,1.0,exploration
740,1.0,0.005,1.0,exploration
741,1.0,0.005,1.0,exploration
742,1.0,0.005,1.0,exploration
743,1.0,0.005,1.0,exploration
744,1.0,0.005,1.0,exploration
745,1.0,0.005,1.0,exploration
746,1.0,0.005,1.0,exploration
747,1.0,0.005,1.0,exploration
748,1.0,0.005,1.0,exploration
749,1.0,0.005,1.0,exploration
750,1.0,0.005,1.0,exploration
